ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA
0e9cdb8e,Arsenal,28,20,4,4,70,24,46,64,INGLATERRA
0e9cdb8f,Liverpool,28,19,7,2,65,26,39,64,INGLATERRA
0e9cdb90,Manchester City,28,19,6,3,63,28,35,63,INGLATERRA
0e9cdb91,Aston Villa,29,17,5,7,60,42,18,56,INGLATERRA
0e9cdb92,Tottenham Hotspur,28,16,5,7,59,42,17,53,INGLATERRA
0e9cdb93,Manchester United,28,15,2,11,39,39,0,47,INGLATERRA
0e9cdb94,West Ham United,29,12,8,9,46,50,-4,44,INGLATERRA
0e9cdb95,Brighton & Hove Albion,28,11,9,8,50,44,6,42,INGLATERRA
0e9cdb96,Wolverhampton Wanderers,28,12,5,11,42,44,-2,41,INGLATERRA
0e9cdb97,Newcastle United,28,12,4,12,59,48,11,40,INGLATERRA
0e9cdb98,Chelsea,27,11,6,10,47,45,2,39,INGLATERRA
0e9cdb99,Fulham,29,11,5,13,43,44,-1,38,INGLATERRA
0e9cdb9a,AFC Bournemouth,28,9,8,11,41,52,-11,35,INGLATERRA
0e9cdb9b,Crystal Palace,28,7,8,13,33,48,-15,29,INGLATERRA
0e9cdb9c,Brentford,29,7,5,17,41,54,-13,26,INGLATERRA
0e9cdb9d,Everton,28,8,7,13,29,39,-10,25,INGLATERRA
0e9cdb9e,Luton Town,29,5,7,17,42,60,-18,22,INGLATERRA
0e9cdb9f,Nottingham Forest,29,6,7,16,35,51,-16,21,INGLATERRA
0e9cdba0,Burnley,29,4,5,20,29,63,-34,17,INGLATERRA
0e9cdba1,ff UtdSheffield United,28,3,5,20,24,74,-50,14,INGLATERRA
